ApplNo,ApplType,ApplPublicNotes,SponsorName
9087,NDA,,NOVARTIS
9088,NDA,,TEVA
9102,NDA,,GLAXOSMITHKLINE
9108,NDA,,PAL PAK
9112,NDA,,JOURNEY
9115,NDA,,NOVARTIS
9127,NDA,,PFIZER
9149,NDA,,GLAXOSMITHKLINE
9164,NDA,,PFIZER
9165,NDA,,ENDO PHARMS
9166,NDA,,SANOFI AVENTIS US
9170,NDA,,VALEANT
9175,NDA,,CASPER PHARMA LLC
9176,NDA,,PFIZER GLOBAL
9182,NDA,,ROCHE
9190,NDA,,GUERBET
9193,NDA,,MERCK
9215,NDA,,NOVARTIS
9217,NDA,,MEDPOINTE PHARM HLC
9218,NDA,,BRISTOL MYERS SQUIBB
9238,NDA,,LILLY
9255,NDA,,FOREST PHARMS
9268,NDA,,PARKE DAVIS
9273,NDA,,IMPAX LABS
9276,NDA,,BOWMAN PHARMS
9278,NDA,,PANRAY
9282,NDA,,NOVARTIS
9296,NDA,,NOVARTIS
9309,NDA,,GLAXOSMITHKLINE
9319,NDA,,FOREST LABS
9321,NDA,,BRACCO
9330,NDA,,COVIS
9344,NDA,,LILLY
9357,NDA,,BRISTOL MYERS SQUIBB
9372,NDA,,WYETH AYERST
9376,NDA,,LILLY
9378,NDA,,PHARMACIA AND UPJOHN
9386,NDA,,WAYLIS THERAP
9388,NDA,,TEVA WOMENS
9391,NDA,,PANRAY
9395,NDA,,GLENWOOD
9402,NDA,,ENDO OPERATIONS
9410,NDA,,SANOFI AVENTIS US
9434,NDA,,NOVARTIS
9435,NDA,,FRESENIUS KABI USA
9436,NDA,,NOVARTIS
9452,NDA,,BLULINE
9453,NDA,,VALE
9458,NDA,,IMPAX LABS
9470,NDA,,FRESENIUS KABI USA
9477,NDA,,BUNDY
9486,NDA,,MCNEIL CONS
9489,NDA,,LEDERLE
9495,NDA,,GLAXOSMITHKLINE
9509,NDA,,MERCK
9519,NDA,,SANOFI AVENTIS US
9561,NDA,,GE HEALTHCARE
9585,NDA,,BAYER PHARMS
9627,NDA,,IMPAX LABS
9631,NDA,,BOWMAN PHARMS
9637,NDA,,EPIC PHARMA LLC
9645,NDA,,VITARINE
9659,NDA,,PANRAY
9660,NDA,,ROCHE
9663,NDA,,BUNDY
9667,NDA,,VALEANT PHARM INTL
9668,NDA,,VALEANT PHARM INTL
9698,NDA,,MEDPOINTE PHARM HLC
9729,NDA,,LEDERLE
9750,NDA,,DISTA
9766,NDA,,SCHERING
9768,NDA,,ADVANZ PHARMA
9789,NDA,,MEDPOINTE PHARM HLC
9796,NDA,,PFIPHARMECS
9818,NDA,,MONARCH PHARMS
9829,NDA,,BAUSCH
9830,NDA,,BAUSCH
9838,NDA,,SANDOZ
9854,NDA,,ANI PHARMS
9859,NDA,,CYCLE
9864,NDA,,PHARMACIA AND UPJOHN
9866,NDA,,PHARMACIA AND UPJOHN
9895,NDA,,BAYER PHARMS
9900,NDA,,PHARMACIA AND UPJOHN
9925,NDA,,ASTRAZENECA
9926,NDA,,FERNDALE LABS
9986,NDA,,PHARMACIA AND UPJOHN
9987,NDA,,PHARMACIA AND UPJOHN
9996,NDA,,PFIZER
10010,NDA,,BAYER PHARMS
10012,NDA,,LILLY
10021,NDA,,ABBVIE
10028,NDA,,WYETH AYERST
10040,NDA,,BRACCO
10060,NDA,,CASPER PHARMA LLC
10093,NDA,,UCB INC
10104,NDA,,BAUSCH
10124,NDA,,LANNETT
10151,NDA,,PARKE DAVIS
10155,NDA,,SANOFI AVENTIS US
10187,NDA,,SANDOZ
10209,NDA,,SCHERING
10210,NDA,,SCHERING
10220,NDA,,GE HEALTHCARE
10251,NDA,,TARGACEPT
10255,NDA,,SCHERING
10347,NDA,,BRISTOL MYERS SQUIBB
10348,NDA,,WYETH AYERST
10349,NDA,,HIKMA
10355,NDA,,ROCHE
10374,NDA,,3M
10375,NDA,,3M
10379,NDA,,KING PHARMS
10392,NDA,,PFIZER
10401,NDA,,FHTA
10402,NDA,,WYETH PHARMS
10417,NDA,,FRESENIUS KABI USA
10418,NDA,,ASTRAZENECA
10423,NDA,,ROCHE
10441,NDA,,EVERYLIFE
10460,NDA,,BOEHRINGER INGELHEIM
10485,NDA,,ROERIG
10496,NDA,,ASTRAZENECA
10515,NDA,,BAUSCH
10520,NDA,,MERCK
10533,NDA,,NOVARTIS
10554,NDA,,PFIZER
10562,NDA,,MERCK
10571,NDA,,GLAXOSMITHKLINE
10581,NDA,,PHYS PRODS VA
10585,NDA,,MERCK
10596,NDA,,PARKE DAVIS
10598,NDA,,SANOFI AVENTIS US
10599,NDA,,ABBVIE
10611,NDA,,PHARMACIA AND UPJOHN
10653,NDA,,3M
10656,NDA,,MERCK
10669,NDA,,WAYLIS THERAP
10670,NDA,,PHARMACIA AND UPJOHN
10679,NDA,,SANOFI AVENTIS US
10686,NDA,,PFIZER
10718,NDA,,REED AND CARNRICK
10721,NDA,,CASPER PHARMA LLC
10742,NDA,,GLAXOSMITHKLINE
10744,NDA,,GLAXOSMITHKLINE
10753,NDA,,WYETH AYERST
10775,NDA,,SCHERING
10787,NDA,,SANOFI AVENTIS US
10791,NDA,,BEL MAR
10796,NDA,,ABBVIE
10799,NDA,,WYETH CONS
10831,NDA,,ORGANICS LAGRANGE
10841,NDA,,RECORDATI RARE
10895,NDA,,PARKE DAVIS
10909,NDA,,SCHERING
10911,NDA,,STUART PHARMS
10926,NDA,,NORVIUM BIOSCIENCE
10927,NDA,,BRACCO
10929,NDA,,BRACCO
10942,NDA,,WYETH AYERST
10962,NDA,,PARKE DAVIS
10971,NDA,,WYETH AYERST
10976,NDA,,GD SEARLE LLC
10996,NDA,,XANODYNE PHARM
10997,NDA,,XANODYNE PHARM
11000,NDA,,GLAXOSMITHKLINE
11011,NDA,,ENDO OPERATIONS
11028,NDA,,MERCK
11045,NDA,,MEDPOINTE PHARM HLC
11047,NDA,,PHARMACIA AND UPJOHN
11073,NDA,,MEDPOINTE PHARM HLC
11110,NDA,,GLAXOSMITHKLINE
11111,NDA,,PFIZER
11120,NDA,,GLAXOSMITHKLINE
11123,NDA,,BRISTOL MYERS SQUIBB
11127,NDA,,GLAXOSMITHKLINE
11145,NDA,,RISING
11153,NDA,,PFIZER
11161,NDA,,ASTELLAS
11178,NDA,,SANOFI AVENTIS US
11185,NDA,,IVAX SUB TEVA PHARMS
11188,NDA,,GLAXOSMITHKLINE
11208,NDA,,ARMOUR PHARM
11210,NDA,,PFIZER
11213,NDA,,SCHERING
11228,NDA,,ORGANON USA INC
11245,NDA,,BRACCO
11265,NDA,,ANI PHARMS
11270,NDA,,SHIRE
11276,NDA,,GLAXOSMITHKLINE
11283,NDA,,DELCOR ASSET CORP
11284,NDA,,MEDPOINTE PHARM HLC
11287,NDA,,CONCORDIA
11294,NDA,,SCHERING
11300,NDA,,ORTHO MCNEIL PHARM
11316,NDA,,ALLERGAN HERBERT
11323,NDA,,SHIRE
11324,NDA,,BRACCO
11325,NDA,,APOTHECON
11338,NDA,,WYETH AYERST
11340,NDA,,PHARM RES ASSOC
11359,NDA,,BRISTOL MYERS SQUIBB
11361,NDA,,SCHERING
11366,NDA,,XERIS
11386,NDA,,GE HEALTHCARE
11418,NDA,,WYETH AYERST
11444,NDA,,SANOFI AVENTIS US
11446,NDA,,PFIZER
11459,NDA,,PFIZER
11467,NDA,,SANOFI AVENTIS US
11483,NDA,,SUN PHARM INDUSTRIES
11491,NDA,,APOTHECON
11496,NDA,,GLAXOSMITHKLINE
11521,NDA,,IVAX SUB TEVA PHARMS
11522,NDA,,TEVA WOMENS
11525,NDA,,RENEW PHARMS
11529,NDA,,JANSSEN R AND D
11552,NDA,,GLAXOSMITHKLINE
11556,NDA,,NOVARTIS
11557,NDA,,SCHERING
11559,NDA,,ENDO OPERATIONS
11583,NDA,,MERCK
11600,NDA,,EXTROVIS
11601,NDA,,NORVIUM BIOSCIENCE
11602,NDA,,DELCOR ASSET CORP
11612,NDA,,PFIZER
11613,NDA,,UCB INC
11620,NDA,,BRACCO
11635,NDA,,MERCK
11641,NDA,,PFIZER
11642,NDA,,PHARM RES ASSOC
11657,NDA,,FOREST LABS
11664,NDA,,MERCK
11665,NDA,,BAUSCH
11673,NDA,,3M
11679,NDA,,ABBOTT
11683,NDA,,IMMUNEX
11685,NDA,,FOSUN PHARMA
11689,NDA,,NORVIUM BIOSCIENCE
11695,NDA,,PHARM RES ASSOC
11702,NDA,,SUN PHARM INDUSTRIES
11707,NDA,,ENDO PHARMS
11719,NDA,,HOSPIRA
11721,NDA,,LEDERLE
11722,NDA,,MPP PHARMA
11730,NDA,,HIKMA
11738,NDA,,ENDO PHARMS
11745,NDA,,ROCHE
11748,NDA,,PHARMACIA AND UPJOHN
11751,NDA,,APOTHECON
11752,NDA,,BOEHRINGER INGELHEIM
11757,NDA,,PFIZER
11771,NDA,,PHARM RES ASSOC
11777,NDA,,MALLINCKRODT
11790,NDA,,HIKMA
11792,NDA,,MYLAN SPECIALITY LP
11793,NDA,,NOVARTIS
11795,NDA,,PFIZER
11808,NDA,,NOVARTIS
11814,NDA,,SCHERING
11835,NDA,,MERCK
11836,NDA,,SANOFI AVENTIS US
11838,NDA,,NOVARTIS
11839,NDA,,PFIZER
11856,NDA,,PHARMACIA AND UPJOHN
11860,NDA,,MERCK
11870,NDA,,SALIX PHARMS
11878,NDA,,NOVARTIS
11891,NDA,,ORGANON USA INC
11909,NDA,,PARKE DAVIS
11914,NDA,,CHESEBROUGH PONDS
11945,NDA,,GLAXOSMITHKLINE
11949,NDA,,SHIRE LLC
11950,NDA,,WESTWOOD SQUIBB
11958,NDA,,MERCK
11960,NDA,,ASTELLAS
11961,NDA,,VALIDUS PHARMS INC
11963,NDA,,FERA PHARMS LLC
11964,NDA,,PARKE DAVIS
11971,NDA,,ABBVIE
11977,NDA,,MERCK
11983,NDA,,MERCK
11984,NDA,,MERCK
12003,NDA,,ABBVIE
12015,NDA,,EPIC PHARMA LLC
12026,NDA,,NOVARTIS
12034,NDA,,SCHERING
12041,NDA,,APOTHECON
12052,NDA,,MERCK
12071,NDA,,MERCK
12093,NDA,,BAUSCH
12095,NDA,,PHARMACIA AND UPJOHN
12097,NDA,,DELCOR ASSET CORP
12102,NDA,,3M
12104,NDA,,SUN PHARM INDS INC
12111,NDA,,ALCON
12122,NDA,,LILLY
12125,NDA,,EASTMAN KODAK
12126,NDA,,3M
12128,NDA,,PFIZER
12141,NDA,,BAXTER HLTHCARE
12142,NDA,,BAXTER HLTHCARE
12145,NDA,,APOTHECON
12148,NDA,,ABBVIE
12151,NDA,,PFIZER
12154,NDA,,HOSPIRA
12155,NDA,,SCHERING
12157,NDA,,BAUSCH
12164,NDA,,APOTHECON
12179,NDA,,HIKMA
12184,NDA,,PARKE DAVIS
12193,NDA,,NOVARTIS
12209,NDA,,SPECTRUM PHARMS
12223,NDA,,PAI HOLDINGS PHARM
12248,NDA,,WYETH AYERST
12249,NDA,,VALEANT PHARM INTL
12250,NDA,,HOSPIRA
12254,NDA,,SCHERING
12259,NDA,,PHARMACIA AND UPJOHN
12265,NDA,,SCHERING
12281,NDA,,ROBINS AH
12283,NDA,,SANOFI AVENTIS US
12285,NDA,,RTRX
12301,NDA,,BAUSCH
12302,NDA,,ABBVIE
12329,NDA,,NOVARTIS
12339,NDA,,SANOFI AVENTIS US
12342,NDA,,ADVANZ PHARMA
12359,NDA,,SHIRE
12365,NDA,,MEDA PHARMS
12366,NDA,,MEDA PHARMS
12376,NDA,,MERCK
12380,NDA,,PARKE DAVIS
12382,NDA,,HIKMA
12383,NDA,,MERCK
12394,NDA,,SCHERING
12402,NDA,,PROCTER AND GAMBLE
12418,NDA,,ABBVIE
12419,NDA,,SCHERING
12421,NDA,,PHARMACIA AND UPJOHN
12427,NDA,,PFIZER
12429,NDA,,WAYLIS THERAP
12455,NDA,,WYETH AYERST
12462,NDA,,PFIZER
12470,NDA,,SCHERING
12485,NDA,,PARKE DAVIS
12486,NDA,,ROCHE
12487,NDA,,ROCHE
12489,NDA,,AH ROBINS INC
12515,NDA,,DELCOR ASSET CORP
12516,NDA,,NOVARTIS
12524,NDA,,ABBVIE
12541,NDA,,PFIZER
12542,NDA,,NOVARTIS
12546,NDA,,ANI PHARMS
12575,NDA,,GLAXOSMITHKLINE
12583,NDA,,ALLERGAN
12594,NDA,,SANOFI AVENTIS US
12616,NDA,,PFIZER
12623,NDA,,PFIZER
12649,NDA,,MERCK
12657,NDA,,SCHERING
12665,NDA,,LILLY
12674,NDA,,ASPEN GLOBAL INC
12675,NDA,,ASPEN GLOBAL INC
12678,NDA,,SANDOZ
12697,NDA,,VALEANT PHARM INTL
12699,NDA,,GD SEARLE LLC
12703,NDA,,ASTRAZENECA
12704,NDA,,ASTRAZENECA
12708,NDA,,MEDPOINTE PHARM HLC
12715,NDA,,ROCHE
12728,NDA,,ORTHO MCNEIL PHARM
12731,NDA,,MERCK
12737,NDA,,SANDOZ
12750,NDA,,BAUSCH
12753,NDA,,NOVARTIS
12754,NDA,,NOVARTIS
12768,NDA,,WYETH AYERST
12770,NDA,,SAPTALIS PHARMS
12772,NDA,,LILLY
12775,NDA,,ABBOTT
12787,NDA,,MEDIMETRIKS PHARMS
12796,NDA,,WYETH PHARMS INC
12802,NDA,,FOSUN PHARMA
12806,NDA,,INA PHARMS
12813,NDA,,ALLERGAN
12827,NDA,,CASPER PHARMA LLC
12828,NDA,,ABBOTT
12836,NDA,,BOEHRINGER INGELHEIM
12845,NDA,,PFIZER
12882,NDA,,WYETH AYERST
12885,NDA,,LUNDBECK INC
12892,NDA,,SHIRE
12911,NDA,,HRA PHARMA
12928,NDA,,LILLY
12936,NDA,,LILLY
12940,NDA,,BIOVAIL
12945,NDA,,TEVA BRANDED PHARM
12947,NDA,,LEDERLE
12967,NDA,,BRACCO
12968,NDA,,BRACCO
12972,NDA,,SANOFI AVENTIS US
13025,NDA,,HOSPIRA
13026,NDA,,WYETH PHARMS
13055,NDA,,PAI HOLDINGS PHARM
13056,NDA,,ABBOTT
13077,NDA,,ASTRAZENECA
13092,NDA,,PURDUE FREDERICK
13093,NDA,,PHARM RES ASSOC
13132,NDA,,WOODWARD SPECL
13157,NDA,,LILLY
13174,NDA,,ADVANZ PHARMA
13217,NDA,,KING PHARMS
13220,NDA,,MERCK
13247,NDA,,NOVARTIS
13263,NDA,,WAYLIS THERAP
13264,NDA,,LEDERLE
13294,NDA,,ROCHE
13295,NDA,,LIEBEL-FLARSHEIM
13296,NDA,,3M
13319,NDA,,MALLINCKRODT
13334,NDA,,MERCK
13378,NDA,,LILLY
13400,NDA,,MERCK
13401,NDA,,MERCK
13402,NDA,,MERCK
13413,NDA,,UCB INC
13416,NDA,,BAUSCH
13420,NDA,,NOVARTIS
13422,NDA,,HARROW EYE
13428,NDA,,ENDO PHARMS
13448,NDA,,ABBOTT
13483,NDA,,SCHERING PLOUGH
13538,NDA,,MERCK
13553,NDA,,NOVARTIS
13601,NDA,,APOTHECON
13615,NDA,,DOW PHARM
13621,NDA,,SANOFI AVENTIS US
13625,NDA,,ACTAVIS LABS UT INC
13636,NDA,,PFIZER
13664,NDA,,ROCHE
13684,NDA,,BAXTER HLTHCARE
13731,NDA,,GE HEALTHCARE
13790,NDA,,INA PHARMS
13927,NDA,,LEDERLE
13934,NDA,,GLAXOSMITHKLINE
13935,NDA,,ALLERGAN
13960,NDA,,MEDIMETRIKS PHARMS
13993,NDA,,BRACCO
14005,NDA,,ORGANON USA INC
14006,NDA,,ORGANON USA INC
14103,NDA,,LILLY
14122,NDA,,WYETH AYERST
14127,NDA,,ASTRAZENECA
14134,NDA,,BAXTER HLTHCARE CORP
14169,NDA,,ALCON
14173,NDA,,WYETH AYERST
14214,NDA,,SANOFI AVENTIS US
14215,NDA,,MERCK SHARP DOHME
14217,NDA,,PAMLAB LLC
14242,NDA,,UCB INC
14295,NDA,,MALLINCKRODT
14322,NDA,,IMPAX LABS
14349,NDA,,PERSONAL PRODS
14359,NDA,,HALSEY
14368,NDA,,MK LABS
14394,NDA,,ASTRAZENECA
14399,NDA,,VALIDUS PHARMS
14474,NDA,,STANLABS PHARM
14547,NDA,,SANDOZ
14601,NDA,,PVT FORM
14602,NDA,,ORGANON
14684,NDA,,LILLY
14685,NDA,,RANBAXY
14691,NDA,,APOTEX
14694,NDA,,ASPEN GLOBAL INC
14696,NDA,,PARKE DAVIS
14713,NDA,,SCHERING
14715,NDA,,NEW RIVER
14738,NDA,,B BRAUN
14740,NDA,,ROCHE
14762,NDA,,SCHERING
14763,NDA,,ASTRAZENECA
14764,NDA,,ROBINS AH
14860,NDA,,SANOFI AVENTIS US
14879,NDA,,HIKMA
14882,NDA,,CHARTWELL MOLECULAR
14901,NDA,,APOTHECON
15034,NDA,,AVION PHARMS
15072,NDA,,MALLARD
15103,NDA,,SANOFI AVENTIS US
15139,NDA,,VALEANT PHARM INTL
15193,NDA,,BAUSCH
15197,NDA,,HIKMA
15229,NDA,,EPIC PHARMA LLC
15230,NDA,,HIKMA
15296,NDA,,MEDIMETRIKS PHARMS
15417,NDA,,WEST WARD
15419,NDA,,BRACCO
15426,NDA,,ELKINS SINN
15438,NDA,,IVAX SUB TEVA PHARMS
15500,NDA,,PHARMACIA AND UPJOHN
15539,NDA,,ALPHARMA US PHARMS
15865,NDA,,IMMUNEX
15868,NDA,,GLAXOSMITHKLINE
15874,NDA,,BOEHRINGER INGELHEIM
15921,NDA,,ORTHO MCNEIL
15922,NDA,,ORTHO MCNEIL
15923,NDA,,JANSSEN PHARMS
16000,NDA,,BAYER HLTHCARE
16001,NDA,,SOLVAY
16008,NDA,,SCHERING
16012,NDA,,TEVA WOMENS
16016,NDA,,MERCK
16020,NDA,,ENDO PHARMS
16023,NDA,,ENDO PHARMS
16029,NDA,,GD SEARLE LLC
16030,NDA,,BAYER
16033,NDA,,GLAXOSMITHKLINE
16042,NDA,,GLAXOSMITHKLINE LLC
16047,NDA,,ABBOTT
16049,NDA,,EPIC PHARMA LLC
16053,NDA,,SCHERING
16059,NDA,,ZYLA LIFE SCIENCES
16069,NDA,,TEVA
16080,NDA,,B BRAUN
16084,NDA,,CASPER PHARMA LLC
16087,NDA,,ROCHE
16092,NDA,,BAUSCH
16093,NDA,,BAUSCH
16096,NDA,,MERCK SHARP DOHME
16097,NDA,,MERCK SHARP DOHME
16099,NDA,,WYETH AYERST
16110,NDA,,APOTHECON
16118,NDA,,BRISTOL MYERS SQUIBB
16119,NDA,,BRISTOL MYERS SQUIBB
16126,NDA,,WYETH CONS
16131,NDA,,SANOFI AVENTIS US
16144,NDA,,ALLERGAN
16149,NDA,,ROCHE
16151,NDA,,ALVOGEN
16161,NDA,,MEDIMETRIKS PHARMS
16191,NDA,,ASTRAZENECA
16192,NDA,,ASTRAZENECA
16194,NDA,,HOSPIRA
16199,NDA,,ANI PHARMS
16211,NDA,,NOVARTIS
16224,NDA,,BRACCO
16235,NDA,,SANOFI AVENTIS US
16245,NDA,,ABBOTT
16249,NDA,,SOLVAY
16267,NDA,,NOVARTIS
16269,NDA,,HOSPIRA
16273,NDA,,VALIDUS PHARMS
16295,NDA,Medication Guide is for DROXIA.,CHEPLAPHARM
16297,NDA,,FRESENIUS KABI USA
16320,NDA,,KANCHAN HLTHCARE
16322,NDA,,SCHERING
16324,NDA,,LEGACY PHARMA
16363,NDA,,SANOFI AVENTIS US
16366,NDA,,OTSUKA ICU MEDCL
16367,NDA,,OTSUKA ICU MEDCL
16379,NDA,,NOVARTIS
16401,NDA,,POLYMEDICA
16402,NDA,,BOEHRINGER INGELHEIM
16403,NDA,,GE HEALTHCARE
16418,NDA,,WYETH PHARMS
16419,NDA,,BAXTER HLTHCARE CORP
16455,NDA,,ALMIRALL
16466,NDA,,ETHYPHARM INC
16472,NDA,,MILES
16515,NDA,,CURIUM
16517,NDA,,CURIUM
16584,NDA,,PFIZER
16608,NDA,,NOVARTIS
16619,NDA,,RISING
16620,NDA,,ALMATICA
16624,NDA,,ALLERGAN
16636,NDA,,ADAPT
16640,NDA,,BRISTOL MYERS
16647,NDA,,BAYER HLTHCARE
16649,NDA,,PHARMACIA AND UPJOHN
